annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K00849,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00850,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00852,-10.03127659450267,-1.113430019328323,0.06284726615195599,akkermansia_muciniphila
K00858,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00859,-12.341775596603147,4.370045960176392,4.1887902272720945,akkermansia_muciniphila
K00873,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00878,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00879,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00891,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00912,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00919,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00927,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00928,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00930,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00931,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00937,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00940,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00941,-6.316884328311557,0.5226205007776785,0.4489175964216457,akkermansia_muciniphila
